City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,9.06,97,0,0.45,ZA,1722657951
1,bethel,41.3712,-73.414,24.83,90,100,1.54,US,1722657952
2,adamstown,-25.066,-130.1015,20.31,78,8,4.22,PN,1722657952
3,anadyr,64.75,177.4833,10.28,93,100,6.0,RU,1722657952
4,carnarvon,-24.8667,113.6333,20.51,55,0,6.46,AU,1722657952
5,moapa valley,36.5805,-114.4703,34.22,32,30,3.14,US,1722657952
6,olonkinbyen,70.9221,-8.7187,5.62,92,100,4.0,SJ,1722657953
7,uige,-7.6087,15.0613,16.17,90,20,1.28,AO,1722657953
8,yellowknife,62.456,-114.3525,15.31,76,20,4.63,CA,1722657861
9,bilibino,68.0546,166.4372,10.47,62,100,3.48,RU,1722657953
10,port-aux-francais,-49.35,70.2167,2.25,81,76,10.99,TF,1722657953
11,yuzhno-kurilsk,44.0306,145.8556,20.1,82,96,4.49,RU,1722657953
12,lihue,21.9789,-159.3672,26.77,71,0,3.6,US,1722657953
13,edinburgh of the seven seas,-37.0676,-12.3116,9.52,50,69,10.66,SH,1722657956
14,iskateley,67.6803,53.1512,18.27,61,8,7.73,RU,1722657956
15,st. john's,47.5649,-52.7093,13.21,95,100,7.6,CA,1722657930
16,hermanus,-34.4187,19.2345,9.39,65,0,1.17,ZA,1722657956
17,yakutsk,62.0339,129.7331,20.98,28,0,3.0,RU,1722657956
18,vargarda,58.0371,12.8091,11.77,85,100,0.36,SE,1722657956
19,fountain inn,34.689,-82.1957,27.31,78,0,4.63,US,1722657956
20,albany,42.6001,-73.9662,22.73,82,100,0.26,US,1722657682
21,stanley,54.868,-1.6985,15.4,92,99,1.66,GB,1722657957
22,dhuusamarreeb,5.535,46.3861,23.37,72,80,8.93,SO,1722657957
23,waitangi,-43.9535,-176.5597,8.23,86,100,3.13,NZ,1722657957
24,ribeira grande,38.5167,-28.7,22.18,78,10,1.83,PT,1722657957
25,al bardiyah,31.7561,25.0865,24.24,77,0,4.48,LY,1722657957
26,blackmans bay,-43.0167,147.3167,13.18,59,100,1.79,AU,1722657957
27,fale old settlement,-9.3852,-171.2468,28.14,74,17,6.71,TK,1722657957
28,isafjordur,66.0755,-23.124,8.16,96,100,2.34,IS,1722657957
29,utrik,11.2278,169.8474,28.39,74,6,1.8,MH,1722657958
30,ushuaia,-54.8,-68.3,1.81,80,100,3.6,AR,1722657958
31,sitka,57.0531,-135.33,16.94,67,20,6.69,US,1722657960
32,lebu,-37.6167,-73.65,8.77,92,16,2.63,CL,1722657960
33,cotonou,6.3654,2.4183,24.99,88,40,3.6,BJ,1722657960
34,san miguel el alto,21.0167,-102.35,16.34,88,100,3.24,MX,1722657960
35,amos,48.5669,-78.1162,21.29,74,53,1.54,CA,1722657737
36,tshikapa,-6.4167,20.8,20.49,29,15,0.98,CD,1722657961
37,iqaluit,63.7506,-68.5145,4.85,65,20,1.03,CA,1722657961
38,puerto natales,-51.7236,-72.4875,1.67,99,100,0.68,CL,1722657961
39,callao,-12.0667,-77.15,16.51,82,75,6.17,PE,1722657961
40,tabou,4.423,-7.3528,23.94,83,100,4.41,CI,1722657961
41,al bawiti,28.3492,28.8659,25.42,55,0,2.74,EG,1722657961
42,cadale,2.7603,46.3222,24.81,84,100,8.85,SO,1722657961
43,igarka,67.4667,86.5833,17.67,77,92,4.86,RU,1722657962
44,parauapebas,-6.0675,-49.9022,22.69,45,10,1.07,BR,1722657962
45,kawalu,-7.3817,108.2082,27.26,74,100,2.0,ID,1722657962
46,hawaiian paradise park,19.5933,-154.9731,26.73,82,100,3.09,US,1722657962
47,harstad,68.799,16.5293,16.56,89,29,7.6,NO,1722657962
48,brisas de zicatela,15.8369,-97.0419,27.09,79,100,0.12,MX,1722657962
49,thompson,55.7435,-97.8558,16.09,67,75,2.57,CA,1722657962
50,college,64.8569,-147.8028,10.99,89,100,3.09,US,1722657962
51,tete,-16.1564,33.5867,14.05,77,0,2.06,MZ,1722657962
52,guerrero negro,27.9769,-114.0611,20.88,81,26,6.46,MX,1722657963
53,luau,-10.7073,22.2247,15.1,34,4,1.48,AO,1722657963
54,invercargill,-46.4,168.35,8.34,77,0,1.25,NZ,1722657963
55,mahbubnagar,16.7333,77.9833,24.76,79,100,7.27,IN,1722657963
56,ilulissat,69.2167,-51.1,7.01,76,2,0.0,GL,1722657963
57,klaksvik,62.2266,-6.589,10.51,95,99,5.84,FO,1722657963
58,rurrenabaque,-14.4413,-67.5278,22.54,68,1,0.75,BO,1722657963
59,uturoa,-16.7333,-151.4333,24.1,66,88,6.19,PF,1722657963
60,tiksi,71.6872,128.8694,8.56,64,100,0.32,RU,1722657964
61,usinsk,65.9939,57.5281,18.99,72,86,9.65,RU,1722657964
62,west island,-12.1568,96.8225,27.99,69,40,7.2,CC,1722657964
63,kalabo,-14.97,22.6814,11.88,41,0,2.15,ZM,1722657964
64,hithadhoo,-0.6,73.0833,28.5,76,88,4.35,MV,1722657964
65,grytviken,-54.2811,-36.5092,-1.28,86,100,6.62,GS,1722657964
